Text Category,Sentiment Score,Sentiment Category
technology,4.0,positive
technology,-8.0,negative
technology,-1.0,negative
technology,1.0,positive
technology,2.0,positive
technology,0.0,neutral
technology,-6.0,negative
technology,-2.0,negative
technology,2.0,positive
technology,3.0,positive
technology,1.0,positive
technology,1.0,positive
technology,-10.0,negative
technology,0.0,neutral
technology,2.0,positive
technology,2.0,positive
technology,2.0,positive
technology,0.0,neutral
technology,0.0,neutral
technology,-17.0,negative
technology,-5.0,negative
technology,2.0,positive
technology,-7.0,negative
technology,6.0,positive
technology,0.0,neutral
sports,2.0,positive
sports,7.0,positive
sports,-1.0,negative
sports,-15.0,negative
sports,8.0,positive
sports,5.0,positive
sports,13.0,positive
sports,20.0,positive
sports,1.0,positive
sports,-1.0,negative
sports,1.0,positive
sports,11.0,positive
sports,4.0,positive
sports,-6.0,negative
sports,-2.0,negative
sports,-3.0,negative
sports,-3.0,negative
sports,-6.0,negative
sports,4.0,positive
sports,2.0,positive
sports,-2.0,negative
sports,-1.0,negative
sports,4.0,positive
sports,2.0,positive
sports,1.0,positive
world,-9.0,negative
world,-2.0,negative
world,1.0,positive
world,7.0,positive
world,-6.0,negative
world,-6.0,negative
world,-3.0,negative
world,-10.0,negative
world,1.0,positive
world,-14.0,negative
world,-18.0,negative
world,-8.0,negative
world,0.0,neutral
world,1.0,positive
world,3.0,positive
world,-19.0,negative
world,-7.0,negative
world,-3.0,negative
world,-7.0,negative
world,-1.0,negative
world,0.0,neutral
world,-5.0,negative
world,0.0,neutral
world,1.0,positive
world,-13.0,negative
